Municipios;Periodo;Total;Nombre_Municipio
01051 Agurain/Salvatierra;2024;225.0;Agurain/Salvatierra
01051 Agurain/Salvatierra;2023;221.0;Agurain/Salvatierra
01051 Agurain/Salvatierra;2022;227.0;Agurain/Salvatierra
01051 Agurain/Salvatierra;2021;222.0;Agurain/Salvatierra
01051 Agurain/Salvatierra;2020;233.0;Agurain/Salvatierra
01051 Agurain/Salvatierra;2019;242.0;Agurain/Salvatierra
01051 Agurain/Salvatierra;2018;244.0;Agurain/Salvatierra
01051 Agurain/Salvatierra;2017;232.0;Agurain/Salvatierra
01051 Agurain/Salvatierra;2016;258.0;Agurain/Salvatierra
01051 Agurain/Salvatierra;2015;250.0;Agurain/Salvatierra
01051 Agurain/Salvatierra;2014;242.0;Agurain/Salvatierra
01051 Agurain/Salvatierra;2013;247.0;Agurain/Salvatierra
01051 Agurain/Salvatierra;2012;259.0;Agurain/Salvatierra
01052 Samaniego;2024;21.0;Samaniego
01052 Samaniego;2023;25.0;Samaniego
01052 Samaniego;2022;25.0;Samaniego
01052 Samaniego;2021;25.0;Samaniego
01052 Samaniego;2020;28.0;Samaniego
01052 Samaniego;2019;32.0;Samaniego
