Municipios;Periodo;Total
02008 Alcaraz;2016;117
02008 Alcaraz;2015;112
02008 Alcaraz;2014;119
02008 Alcaraz;2013;111
02008 Alcaraz;2012;114
02009 Almansa;2024;1.632
02009 Almansa;2023;1.673
02009 Almansa;2022;1.797
02009 Almansa;2021;1.774
02009 Almansa;2020;1.772
02009 Almansa;2019;1.800
02009 Almansa;2018;1.791
02009 Almansa;2017;1.797
02009 Almansa;2016;1.815
02009 Almansa;2015;1.766
02009 Almansa;2014;1.680
02009 Almansa;2013;1.668
02009 Almansa;2012;1.727
02010 Alpera;2024;124
02010 Alpera;2023;125
02010 Alpera;2022;123
02010 Alpera;2021;125
02010 Alpera;2020;123
02010 Alpera;2019;122
02010 Alpera;2018;118
02010 Alpera;2017;121
02010 Alpera;2016;121
02010 Alpera;2015;116
02010 Alpera;2014;117
02010 Alpera;2013;116
02010 Alpera;2012;127
02011 Ayna;2024;24
02011 Ayna;2023;19
02011 Ayna;2022;20
02011 Ayna;2021;23
02011 Ayna;2020;22
02011 Ayna;2019;23
02011 Ayna;2018;28
02011 Ayna;2017;26
02011 Ayna;2016;28
02011 Ayna;2015;27
02011 Ayna;2014;27
02011 Ayna;2013;30
02011 Ayna;2012;28
02012 Balazote;2024;147
02012 Balazote;2023;134
02012 Balazote;2022;145
02012 Balazote;2021;147
02012 Balazote;2020;153
02012 Balazote;2019;159
02012 Balazote;2018;147
02012 Balazote;2017;144
02012 Balazote;2016;146
02012 Balazote;2015;141
02012 Balazote;2014;140
02012 Balazote;2013;129
02012 Balazote;2012;125
02013 Balsa de Ves;2024;5
02013 Balsa de Ves;2023;5
02013 Balsa de Ves;2022;4
02013 Balsa de Ves;2021;6
